year,collection_round,sub_basin,Total
2020,1,Sinangun,41
2020,1,Hongcheongang,181
2020,1,Mangyeonggang,241
2020,1,Yeonggang,117
2020,1,Nakdonggang_Namhae,261
2020,1,Namgangdaem,296
2020,1,Chuncheondaem,200
2020,1,Andongdaem,143
2020,1,Nakdongmilyang,186
2020,1,Chungjudaemharyu,128
2020,1,Daecheongdaemsangryu,112
2020,1,Wicheon,169
2020,1,Gyeongancheon,197
2020,1,Chogang,130
2020,1,Boseonggang,139
2020,1,Hoeyagang,197
2020,1,Wangpicheon,271
2020,1,Sueocheon,175
2020,1,Yeongdeokosipcheon,226
2020,1,Imhadaem,155
2020,1,Taehwagang,162
2020,1,Seomjingang_Daem,242
2020,1,Paldangdaem,53
2020,1,Hwangryonggang,216
2020,1,Gumibo(nakdonggumi),109
2020,1,Seomjingang_Daemharyu,156
2020,1,Yangyang_Namdaecheon,348
2020,1,Nakdonggang_Hagueon,215
2020,1,Yeongdongcheon,121
2020,1,Andongdaemharyu,149
2020,1,Milyanggang,190
2020,1,Yongdamdaemharyu,81
2020,1,Namhangangsangryu,139
2020,1,Yongdamdaem,160
2020,1,Wando,160
2020,1,Seomgang,124
2020,1,Pyeonghwauidaem,38
2020,1,Osucheon,206
2020,1,Bunam_Seawall,170
2020,1,Daecheongdaemharyu,58
2020,1,Dalcheon,193
2020,1,Bocheongcheon,128
2020,2,Hangang_Goyang,189
2020,2,Hyeongsangang,143
2020,2,Suyeonggang,237
2020,2,Saemangeum(jiksocheon),119
2020,2,Gangjeonggoryeongbo(nakdongwaegwan),237
2020,2,Namgang,210
2020,2,Seomjingokseong,118
2020,2,Geumhogang,226
2020,2,Gapcheon,118
2020,2,Yeongsangang_Hagueon,68
2020,2,Changnyeonghapcheonbo(nakdonggoryeong),178
2020,2,Gamcheon,164
2020,2,Soyanggang,121
2020,2,Namhaedo,256
2020,2,Geumsanmyeon,47
2020,2,Tamjingang,267
2020,2,Watancheon,265
2020,2,Daeho_Seawall,123
2020,2,Yeongsangang_Sangryu,216
2020,2,Byeongseongcheon,78
2020,2,Geojedo,235
2020,2,Hangang_Jamsil,122
2020,2,Imjingangharyu,21
2020,2,Gangreung_Namdaecheon,196
2020,2,Chungjudaem,211
2020,2,Seomjingang_Seonamhae,216
2020,2,Hantangang,138
2020,2,Daecheongdaem,112
2020,2,Yeongsangang_Haryu,154
2020,2,Jejunamhae,26
2020,2,Yeongamcheon,144
2020,2,Imjingangsangryu,107
2020,2,Gahwacheon,365
2020,2,Hangang_Seoul,178
2020,2,Mihocheon,160
2020,2,Jujincheon,270
2020,2,Muju_Namdaecheon,98
2020,2,Inbukcheon,78
2020,2,Daejongcheon,140
2020,2,Sunchang,179
2020,2,Hwanggang,127
2020,2,Hoecheon,165
2020,2,Uiamdaem,169
2020,2,Gomakwoncheon,148
2020,2,Jejuseohae,29
2020,2,Sihwaho,115
2020,2,Seomjingang_Haryu,256
2020,2,Anseongcheon,205
2020,2,Geumgang_Gongju,301
2020,2,Dongjingang,218
2020,2,Namhangangharyu,321
2020,2,Naeseongcheon,169
2020,2,Pyeongchanggang,148
2020,2,Nonsancheon,152
2020,2,Sapgyocheon,273
2020,2,Isacheon,211
2020,2,Jejubukhae,26
2020,2,Samcheokosipcheon,139
2020,2,Yeosusi,35
2020,2,Juamdaem,247
2020,2,Cheongpyeongdaem,167
2020,2,Geumgang_Hagueon,121
2020,2,Yeongsangang_Jungryu(juksanbo),148
2020,2,Hapcheondaem,166
2020,2,Geumgang_Seohae,232
2020,2,Hangang_Seohae,215
2020,2,Jiseokcheon,202
2020,2,Nakdongchangnyeong,163
2020,2,Yocheon,204
2020,2,Nakdongsangju,73
2020,2,Jindo,167
2020,2,Sinangun,47
2020,2,Hongcheongang,184
2020,2,Mangyeonggang,248
2020,2,Yeonggang,86
2020,2,Nakdonggang_Namhae,308
2020,2,Namgangdaem,270
2020,2,Chuncheondaem,163
2020,2,Andongdaem,102
2020,2,Nakdongmilyang,203
2020,2,Chungjudaemharyu,91
2020,2,Daecheongdaemsangryu,110
2020,2,Wicheon,157
2020,2,Gyeongancheon,190
2020,2,Chogang,120
2020,2,Boseonggang,132
2020,2,Hoeyagang,219
2020,2,Wangpicheon,235
2020,2,Sueocheon,175
2020,2,Yeongdeokosipcheon,242
